step	dice_multi
0	0.4957306295452747
1	0.6983182208773857
2	0.7791617177024711
3	0.7985406820104741
4	0.8156055341711509
5	0.8187690362706648
6	0.8144590076608165
7	0.8221589320173783
8	0.8224327485963554
9	0.8017982367397362
10	0.7995066852048183
11	0.8249791420216062
12	0.8239231047317725
13	0.8216313651750226
14	0.8283850964744738
15	0.8282615852561614
16	0.8279032056928233
17	0.8279764123296893
18	0.828026227865761
